age_range,value,category
All Aboriginal and Torres Strait Islander people,23021,has need for assistance with core activities
All Aboriginal and Torres Strait Islander people,275359,not have need for assistance with core
All Aboriginal and Torres Strait Islander people,23797,need for assistance not stated
Under_15_years,6493,has need for assistance with core activities
Under_15_years,101592,not have need for assistance with core
Under_15_years,4983,need for assistance not stated
15to24_years,3122,has need for assistance with core activities
15to24_years,55219,not have need for assistance with core
15to24_years,4942,need for assistance not stated
25to34_years,1825,has need for assistance with core activities
25to34_years,36532,not have need for assistance with core
25to34_years,5679,need for assistance not stated
35to44_years,1974,has need for assistance with core activities
35to44_years,28733,not have need for assistance with core
35to44_years,4038,need for assistance not stated
45to54_years,2977,has need for assistance with core activities
45to54_years,26314,not have need for assistance with core
45to54_years,2373,need for assistance not stated
55to64_years,3099,has need for assistance with core activities
55to64_years,17262,not have need for assistance with core
55to64_years,1081,need for assistance not stated
65_years_and_over,3535,has need for assistance with core activities
65_years_and_over,9708,not have need for assistance with core
65_years_and_over,698,need for assistance not stated
