language_name,language_synonym,approximate_latitude_of_language_variety,approximate_longitude_of_language_variety,state_territory
Nyaki Nyaki / Njaki Njaki,"Nyungar, Nyaki Nyaki, Nyagi Nyagi, Eastward tribe, Kaikan, Kar Kar, Karkar, Kikkar, Kilkar, Kokan, Kokar, Njagi, Njagi njagi, Njagiman, Njakinjaki, Nyakinyaki, Punuatch, Punwatch, Njagi Njagi",-32.390945191928,118.75508272649,WA
Naaguja ,Nowkadja,-28.135541101864,114.76447121893,WA
Pindiini ,"Wangkatha, Bindinini, Pindini, Pintiini, Wangkathaa, Maduwongga, Ngurlu, Waljen, Wanggaji, Wangkayi, Bindunda, Pini, Wangaga, Wanggada, Wonga, Wongai i, Wongaidya, Wongaii, Wonggai, Wonggaii, Wongi, Wonkai, Won gaii",-29.465956641058,127.76626114849,WA
Wangkatja ,"Wangkatha, Wangkayi",-29.865930280067,122.69871203435,WA
Waljen ,"Wangkathaa, Maduwongga, Ngurlu, Wanggaji, Wangkayi, Pindini, Koara, Waljwan, Walyen, Waula, wa",-29.231153995635,122.72297452583,WA
Wangkatha ,"Wangatja, dialect of The Western Desert language, Wangkathaa, Maduwongga, Ngurlu, Waljen, Wanggaji, Wangkayi, Pindini, Bindinini, Bindunda, Pindiini, Pini, Wangaga, Wanggada, Wonga, Wongai i, Wongaidya, Wongaii, Wonggai, Wonggaii, Wongi, Wonkai, Wanggaji/Wanggayi, Wanggayi",-29.778252421771,121.91807270657,WA
Widi ,"Badimaya, Widimaya, Barimaia, Cheangwa, Jaburu, Minango, Minangu, Nanakardi, Nanakari, Nanakati, Nhanhakarti, Opee, Weeree, Wiri, Wirti, Wirtimaya, Witimay, Wirtimay, Wirdimay",-28.826757573399,116.72152699866,WA
Badimaya,"Parti maya, Badimaia, Badimara, Barimaia, Nanakari, Patimara, Patimay, Baadeemaia, Badimala, Bardimaia, Bidungu, Padimaia, Padinaia, Parimaia, Waadal, Wallawe, WardalBadi maia, Yamadgee, Yamaji, Yamatji, Patimaya, Bardimaya, Badimay, Yamadyis, Wardal, Badimia",-28.593308271869,117.18532487362,WA
Kuwarra ,"Goara, Koara, Go:ara, Guwara, Kagara, Kogara, Konindja, Konindjara, Waula",-28.182031703639,120.34536446621,WA
Nangadadjara / Nyanganyatjara,"Ngaanyatjarra, Murunitja, Nangatadjara, Pindini, Tjeraridjal, Wanggatha, Alindjara, Ditu, Dituwonga, Nangandjara, Nangata, Nangatatjara, Nanggaranggu, Nanggatha, Ngaanyatjara, Ngalapita, Ngana, Nganandjara, Njingipalaru, Wangata, Njanganjadjara, Nyanganyadjara, Nagatatjara, Ngalap ita, Nangadadjara ",-28.683701655968,124.80344633862,WA
