class,value,state
Year 12 or equivalent,8866.00,NSW
Year 12 or equivalent,2201.00,VIC
Year 12 or equivalent,9104.00,QLD
Year 12 or equivalent,1310.00,SA
Year 12 or equivalent,2699.00,WA
Year 12 or equivalent,846.00,TAS
Year 12 or equivalent,1336.00,NT
Year 12 or equivalent,449.00,ACT
Year 11 or equivalent,2162.00,NSW
Year 11 or equivalent,619.00,VIC
Year 11 or equivalent,1928.00,QLD
Year 11 or equivalent,653.00,SA
Year 11 or equivalent,1086.00,WA
Year 11 or equivalent,303.00,TAS
Year 11 or equivalent,834.00,NT
Year 11 or equivalent,51.00,ACT
Year 10 or equivalent,4848.00,NSW
Year 10 or equivalent,792.00,VIC
Year 10 or equivalent,3032.00,QLD
Year 10 or equivalent,503.00,SA
Year 10 or equivalent,1447.00,WA
Year 10 or equivalent,586.00,TAS
Year 10 or equivalent,1107.00,NT
Year 10 or equivalent,118.00,ACT
Year 9 and below,1789.00,NSW
Year 9 and below,429.00,VIC
Year 9 and below,1109.00,QLD
Year 9 and below,231.00,SA
Year 9 and below,499.00,WA
Year 9 and below,107.00,TAS
Year 9 and below,1189.00,NT
Year 9 and below,35.00,ACT
