age_bin,category,count
Total,Employed,91150.00
Total,Unemployed,22227.00
Total,Not in the labour force,74425.00
Total,Not stated,7364.00
15-19 years,Employed,8269.00
15-19 years,Unemployed,4283.00
15-19 years,Not in the labour force,20182.00
15-19 years,Not stated,1164.00
20-24 years,Employed,14411.00
20-24 years,Unemployed,4990.00
20-24 years,Not in the labour force,8943.00
20-24 years,Not stated,1041.00
25-29 years,Employed,12716.00
25-29 years,Unemployed,3041.00
25-29 years,Not in the labour force,7330.00
25-29 years,Not stated,920.00
30-34 years,Employed,10820.00
30-34 years,Unemployed,2185.00
30-34 years,Not in the labour force,6282.00
30-34 years,Not stated,747.00
35-39 years,Employed,9131.00
35-39 years,Unemployed,1807.00
35-39 years,Not in the labour force,5502.00
35-39 years,Not stated,676.00
40-44 years,Employed,9482.00
40-44 years,Unemployed,1818.00
40-44 years,Not in the labour force,5626.00
40-44 years,Not stated,706.00
45-49 years,Employed,91.00
45-49 years,Unemployed,1517.00
45-49 years,Not in the labour force,5628.00
45-49 years,Not stated,652.00
50-54 years,Employed,77.00
50-54 years,Unemployed,1177.00
50-54 years,Not in the labour force,5314.00
50-54 years,Not stated,584.00
55-59 years,Employed,60.00
55-59 years,Unemployed,819.00
55-59 years,Not in the labour force,4906.00
55-59 years,Not stated,471.00
60-64 years,Employed,36.00
60-64 years,Unemployed,584.00
60-64 years,Not in the labour force,4713.00
60-64 years,Not stated,396.00
